# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoads,1775049744172000000,1775049757786000000,189
FilePageCache.maxRegisteredFiles,1775049744172000000,1775049757786000000,518
FilePageCacheLockFree.totalNativeBytesAllocated,1775049744172000000,1775049757786000000,0
StorageLockContext.competingThreads.avg,1775049744172000000,1775049757786000000,0.625
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775049744172000000,1775049757786000000,41943040
FilePageCacheLockFree.heapBytesInUse,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalPagesRequested,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1775049744172000000,1775049757786000000,0
FilePageCache.capacityInBytes,1775049744172000000,1775049757786000000,503316478
FilePageCacheLockFree.totalNativeBytesReclaimed,1775049744172000000,1775049757786000000,0
DirectByteBufferAllocator.reclaimed,1775049744172000000,1775049757786000000,43
StorageLockContext.competingThreads.max,1775049744172000000,1775049757786000000,8
FilePageCache.disposedBuffers,1775049744172000000,1775049757786000000,189
FilePageCache.totalPageLoadsUs,1775049744172000000,1775049757786000000,105282
FilePageCacheLockFree.totalPagesReadMs,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalBytesRequested,1775049744172000000,1775049757786000000,0
FilePageCache.totalPageDisposalsUs,1775049744172000000,1775049757786000000,7416
DirectByteBufferAllocator.hits,1775049744172000000,1775049757786000000,3
FilePageCacheLockFree.housekeeperTurnsSkipped,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalBytesWritten,1775049744172000000,1775049757786000000,0
DirectByteBufferAllocator.disposed,1775049744172000000,1775049757786000000,146
FilePageCacheLockFree.nativeBytesInUse,1775049744172000000,1775049757786000000,0
FilePageCache.pageFastCacheHits,1775049744172000000,1775049757786000000,13096
FilePageCacheLockFree.totalHeapBytesReclaimed,1775049744172000000,1775049757786000000,0
StorageLockContext.competingThreads.90P,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalPagesReclaimed,1775049744172000000,1775049757786000000,0
FilePageCache.maxCacheSizeInBytes,1775049744172000000,1775049757786000000,195035136
FilePageCacheLockFree.totalHeapBytesAllocated,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalPagesWriteMs,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalPagesAllocated,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1775049744172000000,1775049757786000000,0
DirectByteBufferAllocator.misses,1775049744172000000,1775049757786000000,186
FilePageCache.pageHits,1775049744172000000,1775049757786000000,0
FilePageCache.uncachedFileAccess,1775049744172000000,1775049757786000000,328
FilePageCacheLockFree.housekeeperTurnsDone,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalPagesWritten,1775049744172000000,1775049757786000000,0
FilePageCacheLockFree.totalBytesRead,1775049744172000000,1775049757786000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775049744172000000,1775049757786000000,41943040
FilePageCacheLockFree.totalPagesHandedOver,1775049744172000000,1775049757786000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1775049744172000000,1775049757786000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1775049744172000000,1775049757786000000,0
jps.global.get.library.ms,1775049744172000000,1775049757786000000,0
jps.global.get.libraries.ms,1775049744172000000,1775049757786000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775049744172000000,1775049757786000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775049744172000000,1775049757786000000,0
workspaceModel.do.save.caches.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775049744172000000,1775049757786000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775049744172000000,1775049757786000000,0
workspaceModel.global.updates.count,1775049744172000000,1775049757786000000,0
workspaceModel.global.updates.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775049744172000000,1775049757786000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775049744172000000,1775049757786000000,0
jps.load.initial.state.ms,1775049744172000000,1775049757786000000,8
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775049744172000000,1775049757786000000,0
jps.global.initialize.library.bridges.after.loading.ms,1775049744172000000,1775049757786000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1775049744172000000,1775049757786000000,0
workspaceModel.save.cache.to.file.ms,1775049744172000000,1775049757786000000,0
jps.save.global.entities.ms,1775049744172000000,1775049757786000000,2
jps.app.storage.content.reader.load.component.ms,1775049744172000000,1775049757786000000,1
jps.global.initialize.library.bridges.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775049744172000000,1775049757786000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.instances.count,1775049744172000000,1775049757786000000,3
workspaceModel.mutableEntityStorage.modify.entity.ms,1775049744172000000,1775049757786000000,0
jps.app.storage.content.writer.save.component.ms,1775049744172000000,1775049757786000000,0
jps.global.get.library.by.name.ms,1775049744172000000,1775049757786000000,0
jps.library.entities.serializer.load.entities.ms,1775049744172000000,1775049757786000000,1
workspaceModel.load.cache.from.file.ms,1775049744172000000,1775049757786000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1775049744172000000,1775049757786000000,0
jps.global.handle.changed.events.ms,1775049744172000000,1775049757786000000,0
jps.library.entities.serializer.save.entities.ms,1775049744172000000,1775049757786000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775049744172000000,1775049757786000000,0
workspaceModel.sync.entities.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775049744172000000,1775049757786000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775049744172000000,1775049757786000000,0
workspaceModel.global.apply.state.to.project.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775049744172000000,1775049757786000000,0
workspaceModel.load.cache.metadata.from.file.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775049744172000000,1775049757786000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775049744172000000,1775049757786000000,0
jps.global.handle.before.change.events.ms,1775049744172000000,1775049757786000000,0
